id	title	status	folders	files	bytes	note
1R8LbafkMMlkCNmUa01QWSUdBv-J1fq7l	_MUNICIPALITY-PLAN-SUBMISSION-PORTALS	DONE	30	16	18962	all 24 depth-2 leaf folders (Access-Login/Blank-Forms/Ordinances/Submitted-Packages under each of 6 cities) empty; no _VERSION-LOG.md at depth1; daily .bak- files accumulating under _STAGE.md
1v1UG0lIbeUmYFfEQPQ6Yc5V0jML083nf	_DRAFTS-PENDING-PACKAGES	DONE	0	14	14952	flat, no subfolders; only _STAGE.md plus 13 daily .bak- copies; no _VERSION-LOG.md
1R_84yzKyapzG0-Rsi7tL0tJQEw0viMZB	TRK-TBD _ FOLIO-TBD _ 10000 W Bay Harbor Dr Unit 425	DONE	17	50	414125	no _VERSION-LOG.md at depth1; many daily .bak pairs (PORTAL+STAGE) since 2026-08-30; several empty leaf subfolders
11BBc5FKWh7-kVV_nNeyLEcSu7oqCDxGG	TRK-TBD _ FOLIO-TBD _ 10000 W Bay Harbor Dr Unit 404 (Reyna Jovel)	DONE	17	50	409280	same template as Unit 425 (identical folder skeleton); no _VERSION-LOG.md at depth1; daily .bak pairs since 2026-08-30
1hzTpWUMFsgqOC2WsjK05iIhi8ENJ4TEa	TRK-2026-1296 - TEDC Tacolcy EDC - Company Credentials 2026 (TEDC)	DONE	9	48	326377	no _VERSION-LOG.md at depth1; dual sibling structures (01-05 numbered TRK folders + 01-03 Emails/Files/Status folders), all 8 non-01-Emails depth1 folders empty; 20 daily .bak- pairs of _PORTAL/_STAGE files
1iAuVs7WfL6yjGypRhappO5DLngwOooJl	TRK-TBD _ FOLIO-TBD _ 10000 W Bay Harbor Dr Unit 302	DONE	17	50	401205	same template skeleton as Units 425/404; no _VERSION-LOG.md at depth1; daily .bak pairs since 2026-08-30
1-XWY0LINsD0DqJa5ym8tgewGphIsh8B6	TRK-2026-1295 - Principio - 5401 NW 7 Ave Miami - 142 unit workforce housing (TEDC)	DONE	9	48	331132	same template skeleton as TRK-2026-1296 (dual 01-05/Emails-Files-Status folder sets, 8 of 9 depth1 folders empty); no _VERSION-LOG.md at depth1; 20 daily .bak- pairs
1TaOSDjV2TSBVULlHnplRC5aCNk5HZF_A	TRK-TBD _ FOLIO-TBD _ 10000 W Bay Harbor Dr Unit 301	DONE	17	50	401269	same template skeleton as sibling units; no _VERSION-LOG.md at depth1; daily .bak pairs since 2026-08-30
1iMO3rvooHDuqLOH_p0UO_8HFnzlb5q1-	TRK-2026-1534 _ 30-3115-005-3770 _ 1840 NW 63 ST	DONE	30	121	110629124	dual duplicate folder-naming scheme at depth1 (00-Intake..08-Jacket-Order AND 01-INTAKE..05-REPORTS-DELIVERABLES coexist); many daily .bak- snapshots at root; no _VERSION-LOG.md at depth1
1Xo9vgEAjtZdaVEuoXj4gZwLounYRIumo	TRK-2026-1684 _ 30-5913-027-0070 _ 12248 SW 125 TER (Caso-Sevastopoulos)	DONE	9	234	14120879	no _VERSION-LOG.md at depth1; _Superseded has 32 WRONG-IMAGE-API-RETURNED-2025-DEED duplicate p01/p02 pairs (deed-image API bug artifact); 01-INTAKE\_FOLDED-FROM-ONEDRIVE_2026-09-04 nests a duplicate-named subfolder "12248 SW 125 TER - Caso-Sevastopoulos_TRK-2026-1684" at depth3 (not expanded, exceeds depth cap); heavy OCR/SEARCH.txt sidecar duplication under 01-INTAKE
15l6ISulILZG-NA4KVxU_lP9on-zaL2gX	TRK-TBD _ FOLIO-TBD _ 10000 W Bay Harbor Dr Unit 221	DONE	17	50	402297	same template skeleton as sibling units; no _VERSION-LOG.md at depth1; daily .bak pairs since 2026-08-30
